Massiel,Tropical Massiel,media/audio/master/MASTER TROPICAL (MASSIEL).mp3,media/audio/warp2/WARP 2 TROPICAL.mp3,media/img/thumbnail/sample.gif,media/img/background/sample.gif,0.10,0.16,0.55,-0.37,0.02,0.97,0.32,0.81,0.19,0.37
Astrofox,Piano Medieval,media/audio/master/MASTER PIANO MEDIEVAL (ASTROFOX).mp3,media/audio/warp2/WARP 2 PIANO MEDIEVAL.mp3,media/img/thumbnail/sample.gif,media/img/background/sample.gif,0.85,0.82,0.80,0.50,0.30,0.81,0.94,-0.96,0.20,-0.44
Juan,Piano Campanas,media/audio/master/MASTER PIANO _ CAMPANAS (JUAN).mp3,media/audio/warp2/WARP 2 PIANO _ CAMPANAS.mp3,media/img/thumbnail/sample.gif,media/img/background/sample.gif,0.61,-0.94,0.03,0.47,0.56,0.69,0.09,0.79,0.07,-0.10
autorx 03,Melodía en Piano,media/audio/master/MASTER MELODÍA EN PIANO.mp3,media/audio/warp2/WARP 2 MELODÍA EN PIANO.mp3,media/img/thumbnail/sample.gif,media/img/background/sample.gif,0.48,0.61,0.09,-0.12,0.72,-0.04,0.61,0.82,0.42,-0.14
María José Villegas,Melodía Atardecer,media/audio/master/MASTER MELODÍA ATARDECER (MARÍA JOSÉ VILLEGAS).mp3,media/audio/warp2/WARP 2 MELODÍA ATARDECER.mp3,media/img/thumbnail/sample.gif,media/img/background/sample.gif,0.25,0.81,0.91,-0.26,0.18,-0.37,0.25,-0.09,0.22,0.99
autorx 05,Melodía Animal,media/audio/master/MASTER MELODÍA ANIMAL.mp3,media/audio/warp2/WARP 2 MELODÍA ANIMAL.mp3,media/img/thumbnail/sample.gif,media/img/background/sample.gif,0.18,-0.90,0.56,-0.10,0.08,-0.41,0.41,-0.22,0.53,-0.61
autorx 06,Improvisación,media/audio/master/MASTER IMPROVISACIÓN.mp3,media/audio/warp2/WARP 2 IMPROVISACIÓN.mp3,media/img/thumbnail/sample.gif,media/img/background/sample.gif,0.22,-0.27,0.41,-0.49,0.96,-0.59,0.25,-0.85,0.49,0.53
autorx 07,Futuro,media/audio/master/MASTER FUTURO.mp3,media/audio/master/MASTER FUTURO.mp3,media/img/thumbnail/sample.gif,media/img/background/sample.gif,0.43,0.27,0.07,0.81,0.86,0.18,0.58,0.15,0.14,0.73
autorx 08,Dubstep,media/audio/master/MASTER DUBSTEP.mp3,media/audio/warp2/WARP 2 DUBSTEP.mp3,media/img/thumbnail/sample.gif,media/img/background/sample.gif,0.00,0.68,0.84,-0.90,0.83,0.76,0.34,0.35,0.81,0.76
autorx 09,Batería y Piano,media/audio/master/MASTER BATERÍA _ PIANO.mp3,media/audio/warp2/WARP 2 BATERÍA Y PIANO.mp3,media/img/thumbnail/sample.gif,media/img/background/sample.gif,0.22,0.11,0.41,-0.35,0.45,-0.16,0.45,0.67,0.15,-0.89
autorx 10,Bajo Sonidos,media/audio/master/MASTER BAJO _ SONIDOS.mp3,media/audio/warp2/WARP 2 BAJOS _ SONIDOS.mp3,media/img/thumbnail/sample.gif,media/img/background/sample.gif,0.27,0.98,0.59,0.41,0.07,-0.10,0.69,-0.67,0.80,0.89
